age,workclass,native_country,marital_status,education_num,occupation,race,hours_per_week,income_bracket,dataframe
39, Private, United-States, Married-civ-spouse,5, Other-service, Black,34, <=50K,training
72, Private, United-States, Married-civ-spouse,5, Exec-managerial, Asian-Pac-Islander,48, >50K,training
45, Private, United-States, Married-civ-spouse,5, Machine-op-inspct, White,40, >50K,training
31, Private, United-States, Married-civ-spouse,5, Exec-managerial, White,40, <=50K,evaluation
55, Private, United-States, Married-civ-spouse,5, Tech-support, White,23, <=50K,training
30, Private, Portugal, Married-civ-spouse,5, Machine-op-inspct, White,40, <=50K,training
46, Self-emp-inc, United-States, Married-civ-spouse,5, Adm-clerical, White,50, <=50K,training
28, Private, United-States, Married-civ-spouse,5, Machine-op-inspct, White,40, <=50K,training
37, Private, United-States, Married-civ-spouse,5, Machine-op-inspct, Black,48, <=50K,training
40, Local-gov, Yugoslavia, Married-civ-spouse,5, Other-service, White,40, >50K,training
41, ?, Hong, Married-civ-spouse,5, ?, Asian-Pac-Islander,40, <=50K,training
27, Private, Portugal, Married-civ-spouse,5, Machine-op-inspct, White,37, <=50K,training
31, Private, United-States, Married-civ-spouse,5, Farming-fishing, White,42, <=50K,training
46, Private, United-States, Married-civ-spouse,5, Machine-op-inspct, White,40, <=50K,training
70, Private, United-States, Married-civ-spouse,5, Machine-op-inspct, White,40, <=50K,training
77, Private, United-States, Married-civ-spouse,5, Priv-house-serv, Black,10, <=50K,training
38, Private, Haiti, Married-civ-spouse,5, Other-service, Black,24, <=50K,training
41, Self-emp-inc, Dominican-Republic, Married-civ-spouse,5, Sales, White,70, <=50K,training
52, Local-gov, United-States, Married-civ-spouse,5, Other-service, White,40, <=50K,prediction
35, ?, United-States, Married-civ-spouse,5, ?, White,35, <=50K,training
28, Private, United-States, Married-civ-spouse,5, Protective-serv, Black,40, <=50K,training
36, Private, United-States, Married-civ-spouse,6, Other-service, White,24, <=50K,training
58, Private, United-States, Married-civ-spouse,6, Other-service, White,8, <=50K,training
48, Private, United-States, Married-civ-spouse,6, Adm-clerical, White,40, <=50K,evaluation
58, Self-emp-inc, United-States, Married-civ-spouse,6, Transport-moving, White,40, <=50K,training
22, Private, United-States, Married-civ-spouse,6, Machine-op-inspct, White,40, <=50K,training
29, Private, United-States, Married-civ-spouse,6, Farming-fishing, Amer-Indian-Eskimo,40, <=50K,training
27, Private, Mexico, Married-civ-spouse,6, Exec-managerial, White,40, <=50K,training
40, Private, United-States, Married-civ-spouse,6, Other-service, Black,32, <=50K,evaluation
26, Private, United-States, Married-civ-spouse,6, Handlers-cleaners, White,40, <=50K,training
26, Private, United-States, Married-civ-spouse,6, Adm-clerical, White,40, <=50K,training
25, Private, United-States, Married-civ-spouse,6, Protective-serv, Black,50, <=50K,training
